Run,TP,FP,FN,TN,Loss,Accuracy,Precision,Recall
84,7853,2161,1886,8798,0.066606127,0.804473862,0.784202117,0.806345621
85,7803,2210,1936,8749,0.06739258,0.799690791,0.779286927,0.801211623
86,7848,2201,1891,8758,0.066797383,0.802299739,0.780973231,0.805832221
87,7895,2122,1844,8837,0.066030093,0.808387284,0.788160128,0.810658178
88,7883,2173,1856,8786,0.066785611,0.805343511,0.783910103,0.809426019
89,7867,2168,1872,8791,0.066143274,0.804812059,0.783956153,0.80778314
90,7859,2168,1880,8791,0.066304892,0.804425548,0.783783784,0.8069617
91,7872,2175,1867,8784,0.066099845,0.804715431,0.783517468,0.80829654
92,7861,2154,1878,8805,0.066080704,0.80519857,0.784922616,0.80716706
93,7865,2215,1874,8744,0.066249378,0.802444681,0.780257937,0.80757778
94,7865,2149,1874,8810,0.065762915,0.805633395,0.785400439,0.80757778
95,7914,2130,1825,8829,0.065282367,0.808918736,0.787933094,0.812609097
96,7850,2108,1889,8851,0.065296799,0.806889555,0.788310906,0.806037581
97,7875,2123,1864,8836,0.06522727,0.807372693,0.787657532,0.80860458
98,7858,2143,1881,8816,0.065859921,0.805585081,0.785721428,0.80685902
99,7873,2098,1866,8861,0.065675355,0.808483911,0.78958981,0.80839922
100,7918,2180,1821,8779,0.065760724,0.806696299,0.784115666,0.813019817
-1,1909,672,536,2058,0.077434056,0.766570048,0.7396358,0.780777096
